624,BATTERY - SIMPLE ASSAULT
745,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
121,"RAPE, FORCIBLE"
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
946,OTHER MISCELLANEOUS CRIME
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
930,CRIMINAL THREATS - NO WEAPON DISPLAYED
330,BURGLARY FROM VEHICLE
648,ARSON
510,VEHICLE - STOLEN
440,THEFT PLAIN - PETTY ($950 & UNDER)
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
210,ROBBERY
761,BRANDISH WEAPON
310,BURGLARY
623,BATTERY POLICE (SIMPLE)
820,ORAL COPULATION
626,INTIMATE PARTNER - SIMPLE ASSAULT
420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
354,THEFT OF IDENTITY
350,"THEFT, PERSON"
860,BATTERY WITH SEXUAL CONTACT
480,BIKE - STOLEN
888,TRESPASSING
331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER)
421,THEFT FROM MOTOR VEHICLE - ATTEMPT
647,THROWING OBJECT AT MOVING VEHICLE
662,"BUNCO, GRAND THEFT"
236,INTIMATE PARTNER - AGGRAVATED ASSAULT
220,ATTEMPTED ROBBERY
625,OTHER ASSAULT
755,BOMB SCARE
649,DOCUMENT FORGERY / STOLEN FELONY
812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)
815,SEXUAL PENETRATION W/FOREIGN OBJECT
900,VIOLATION OF COURT ORDER
251,SHOTS FIRED AT INHABITED DWELLING
320,"BURGLARY, ATTEMPTED"
627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT
901,VIOLATION OF RESTRAINING ORDER
956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD"
343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER)
850,INDECENT EXPOSURE
902,VIOLATION OF TEMPORARY RESTRAINING ORDER
664,"BUNCO, PETTY THEFT"
920,KIDNAPPING - GRAND ATTEMPT
437,RESISTING ARREST
753,DISCHARGE FIREARMS/SHOTS FIRED
668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)"
910,KIDNAPPING
762,LEWD CONDUCT
951,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $400 & UNDER"
351,PURSE SNATCHING
763,STALKING
821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH
522,"VEHICLE - MOTORIZED SCOOTERS, BICYCLES, AND WHEELCHAIRS"
237,CHILD NEGLECT (SEE 300 W.I.C.)
903,CONTEMPT OF COURT
666,"BUNCO, ATTEMPT"
810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ"
660,COUNTERFEIT
822,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS
940,EXTORTION
441,THEFT PLAIN - ATTEMPT
122,"RAPE, ATTEMPTED"
443,SHOPLIFTING - ATTEMPT
434,FALSE IMPRISONMENT
410,"BURGLARY FROM VEHICLE, ATTEMPTED"
886,DISTURBING THE PEACE
890,FAILURE TO YIELD
928,THREATENING PHONE CALLS/LETTERS
520,VEHICLE - ATTEMPT STOLEN
670,"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)"
661,UNAUTHORIZED COMPUTER ACCESS
654,"CREDIT CARDS, FRAUD USE ($950 & UNDER"
352,PICKPOCKET
345,DISHONEST EMPLOYEE - GRAND THEFT
450,THEFT FROM PERSON - ATTEMPT
250,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT"
922,CHILD STEALING
933,PROWLER
813,CHILD ANNOYING (17YRS & UNDER)
845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE
653,"CREDIT CARDS, FRAUD USE ($950.01 & OVER)"
231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER
110,CRIMINAL HOMICIDE
814,CHILD PORNOGRAPHY
760,LEWD/LASCIVIOUS ACTS WITH CHILD
932,PEEPING TOM
622,BATTERY ON A FIREFIGHTER
471,TILL TAP - PETTY ($950 & UNDER)
805,PIMPING
950,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $400"
439,FALSE POLICE REPORT
446,PETTY THEFT - AUTO REPAIR
235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT
806,PANDERING
880,DISRUPT SCHOOL
944,CONSPIRACY
652,DOCUMENT WORTHLESS ($200 & UNDER)
433,DRIVING WITHOUT OWNER CONSENT (DWOC)
438,RECKLESS DRIVING
487,BOAT - STOLEN
353,DRUNK ROLL
651,DOCUMENT WORTHLESS ($200.01 & OVER)
347,GRAND THEFT / INSURANCE FRAUD
943,CRUELTY TO ANIMALS
452,"PICKPOCKET, ATTEMPT"
865,"DRUGS, TO A MINOR"
870,CHILD ABANDONMENT
474,"THEFT, COIN MACHINE - PETTY ($950 & UNDER)"
949,ILLEGAL DUMPING
485,BIKE - ATTEMPTED STOLEN
906,FIREARMS RESTRAINING ORDER (FIREARMS RO)
756,WEAPONS POSSESSION/BOMBING
954,CONTRIBUTING
444,DISHONEST EMPLOYEE - PETTY THEFT
921,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE
942,BRIBERY
113,"MANSLAUGHTER, NEGLIGENT"
349,GRAND THEFT / AUTO REPAIR
931,"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)"
475,"THEFT, COIN MACHINE - ATTEMPT"
473,"THEFT, COIN MACHINE - GRAND ($950.01 & OVER)"
451,PURSE SNATCHING - ATTEMPT
435,LYNCHING
436,LYNCHING - ATTEMPTED
470,TILL TAP - GRAND THEFT ($950.01 & OVER)
924,TELEPHONE PROPERTY - DAMAGE
840,"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM"
904,FIREARMS EMERGENCY PROTECTIVE ORDER (FIREARMS EPO)
830,INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES)
